date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2020-06-13,Bagumbayan,32064.19,29969.586766265653,2094.603233734346
2020-06-14,Bagumbayan,31877.4,30891.105529208908,986.2944707910938
2020-06-15,Bagumbayan,34450.95,35312.91080802721,-861.9608080272155
2020-06-16,Bagumbayan,35883.48,35345.336492460665,538.1435075393383
2020-06-17,Bagumbayan,33489.05,32661.55217896318,827.4978210368245
2020-06-18,Bagumbayan,33368.18,30197.682364682405,3170.4976353175953
2020-06-19,Bagumbayan,33362.2,34633.1917504993,-1270.9917504993064
2020-06-20,Bagumbayan,31653.91,29982.037188387276,1671.872811612724
2020-06-21,Bagumbayan,29453.67,26577.001062746174,2876.668937253824
2020-06-22,Bagumbayan,32619.49,32239.55405235893,379.93594764107183
2020-06-23,Bagumbayan,34956.77,35470.315030333586,-513.5450303335892
2020-06-24,Bagumbayan,36241.62,32998.84902131143,3242.7709786885753
2020-06-25,Bagumbayan,37808.31,37007.70585312489,800.6041468751064
2020-06-26,Bagumbayan,36916.4,33699.55510662458,3216.844893375419
2020-06-27,Bagumbayan,33982.24,32137.396591873076,1844.8434081269224
2020-06-28,Bagumbayan,33598.43,30868.16160156214,2730.26839843786
2020-06-29,Bagumbayan,37564.47,36671.229300898616,893.240699101385
2020-06-30,Bagumbayan,36392.92,34535.52330698073,1857.3966930192692
2020-07-01,Bagumbayan,35242.21,33657.78773212215,1584.422267877846
2020-07-02,Bagumbayan,34031.62,33743.12595777967,288.494042220329
2020-07-03,Bagumbayan,34181.25,34868.91997391364,-687.6699739136384
2020-07-04,Bagumbayan,32180.45,30184.893409235177,1995.5565907648233
2020-07-05,Bagumbayan,30230.14,29800.900621223245,429.23937877675417
2020-07-06,Bagumbayan,33525.74,33396.93644048022,128.8035595197798
2020-07-07,Bagumbayan,36094.33,35692.080310583944,402.24968941605766
2020-07-08,Bagumbayan,35592.74,35522.34294224574,70.39705775425682
2020-07-09,Bagumbayan,33923.57,33644.78566546975,278.78433453024627
2020-07-10,Bagumbayan,35315.78,35720.322572293146,-404.5425722931468
2020-07-11,Bagumbayan,34988.23,33687.120038722125,1301.109961277878
2020-07-12,Bagumbayan,34373.11,35171.72805222601,-798.6180522260111
2020-07-13,Bagumbayan,38518.5,39016.73555461099,-498.2355546109902
2020-07-14,Bagumbayan,36490.11,37171.6358548408,-681.5258548408019
2020-07-15,Bagumbayan,37616.9,36901.32310649782,715.5768935021842
2020-07-16,Bagumbayan,37881.66,37208.68257744644,672.9774225535657
2020-07-17,Bagumbayan,36519.53,36717.21153797191,-197.6815379719119
2020-07-18,Bagumbayan,32931.61,30886.257909068783,2045.3520909312174
2020-07-19,Bagumbayan,32928.68,33735.030961139426,-806.3509611394256
2020-07-20,Bagumbayan,35760.04,37116.27251841304,-1356.2325184130386
2020-07-21,Bagumbayan,37430.3,39149.34569161219,-1719.0456916121839
2020-07-22,Bagumbayan,38455.56,38715.904562669515,-260.3445626695175
2020-07-23,Bagumbayan,34940.71,34953.69699687457,-12.98699687456974
2020-07-24,Bagumbayan,34943.88,34456.30364753482,487.5763524651775
2020-07-25,Bagumbayan,33537.44,31595.40627825804,1942.033721741962
2020-07-26,Bagumbayan,31546.07,32576.78728722699,-1030.7172872269912
2020-07-27,Bagumbayan,34484.03,34171.93922301014,312.0907769898622
2020-07-28,Bagumbayan,36162.24,37768.95295052222,-1606.7129505222256
2020-07-29,Bagumbayan,36872.67,38126.8391633258,-1254.1691633258015
2020-07-30,Bagumbayan,35962.37,37274.45108571409,-1312.0810857140896
2020-07-31,Bagumbayan,35758.95,35870.79365975306,-111.84365975305991
2020-08-01,Bagumbayan,34005.6,33199.62047124325,805.9795287567467
2020-08-02,Bagumbayan,33214.48,33116.13107900049,98.34892099950957
2020-08-03,Bagumbayan,33692.91,32986.488991870836,706.4210081291676
2020-08-04,Bagumbayan,35729.0,34835.8454997081,893.1545002919011
2020-08-05,Bagumbayan,35796.51,36855.68310282864,-1059.1731028286376
2020-08-06,Bagumbayan,37258.93,37603.87861361612,-344.9486136161213
2020-08-07,Bagumbayan,39281.49,40002.14306115168,-720.6530611516791
2020-08-08,Bagumbayan,36456.32,37744.76976825483,-1288.4497682548317
2020-08-09,Bagumbayan,32700.4,31936.936375266738,763.4636247332637
2020-08-10,Bagumbayan,35283.27,35997.68242596566,-714.4124259656601
2020-08-11,Bagumbayan,35755.05,36225.85519820919,-470.8051982091856
2020-08-12,Bagumbayan,38203.31,37435.547374725444,767.762625274554
2020-08-13,Bagumbayan,37778.29,38372.029100449174,-593.7391004491728
2020-08-14,Bagumbayan,38649.65,40497.212513484876,-1847.5625134848742
2020-08-15,Bagumbayan,35058.0,35806.58319461999,-748.5831946199905
2020-08-16,Bagumbayan,30494.01,31533.016301507,-1039.006301507001
2020-08-17,Bagumbayan,36017.74,39543.98067571297,-3526.240675712972
2020-08-18,Bagumbayan,34604.02,34637.17632468301,-33.15632468301192
2020-08-19,Bagumbayan,36304.75,38188.89336968199,-1884.1433696819877
2020-08-20,Bagumbayan,36811.48,37925.039108041965,-1113.5591080419617
2020-08-21,Bagumbayan,36408.64,34409.74500880041,1998.8949911995878
2020-08-22,Bagumbayan,35622.09,36359.716685437175,-737.6266854371788
2020-08-23,Bagumbayan,36054.97,35363.734875154434,691.235124845567
2020-08-24,Bagumbayan,36903.94,40404.722036577536,-3500.7820365775333
2020-08-25,Bagumbayan,37173.38,39035.16163738635,-1861.7816373863534
2020-08-26,Bagumbayan,36009.31,36706.08465038595,-696.7746503859526
2020-08-27,Bagumbayan,33372.34,32367.37626285492,1004.9637371450772
2020-08-28,Bagumbayan,33542.84,33620.553330798975,-77.71333079897886
2020-08-29,Bagumbayan,32182.36,34706.39610666577,-2524.0361066657715
2020-08-30,Bagumbayan,32243.42,34541.56523562192,-2298.1452356219233
2020-08-31,Bagumbayan,34266.5,33523.8628575129,742.6371424871031
2020-09-01,Bagumbayan,35401.54,35210.33222959664,191.20777040335815
2020-09-02,Bagumbayan,35184.33,34055.04193105752,1129.2880689424783
2020-09-03,Bagumbayan,36748.21,37555.0613391831,-806.8513391831002
2020-09-04,Bagumbayan,36037.97,34790.34305555798,1247.6269444420177
2020-09-05,Bagumbayan,34482.65,32870.85347161625,1611.7965283837548
2020-09-06,Bagumbayan,32778.15,31287.203194722184,1490.9468052778175
2020-09-07,Bagumbayan,37202.53,38713.34233381157,-1510.8123338115693
2020-09-08,Bagumbayan,36227.84,37898.94433139424,-1671.1043313942428
2020-09-09,Bagumbayan,36355.15,36396.310217087535,-41.160217087533965
2020-09-10,Bagumbayan,35908.83,37882.22876602576,-1973.3987660257553
2020-09-11,Bagumbayan,34455.72,34612.95303787336,-157.23303787336044
2020-09-12,Bagumbayan,34536.46,33307.538361675644,1228.9216383243547
2020-09-13,Bagumbayan,32624.31,33185.92018320384,-561.6101832038366
2020-09-14,Bagumbayan,35595.29,36054.92459815938,-459.63459815937676
2020-09-15,Bagumbayan,34377.02,35132.34748449108,-755.3274844910848
2020-09-16,Bagumbayan,35690.79,36416.85755257748,-726.0675525774786
2020-09-17,Bagumbayan,34052.25,31901.610766700353,2150.6392332996475
2020-09-18,Bagumbayan,35123.4,37427.16064721225,-2303.7606472122498
2020-09-19,Bagumbayan,35576.12,33721.76421948457,1854.3557805154342
2020-09-20,Bagumbayan,31292.49,31046.69476320759,245.79523679241174
2020-09-21,Bagumbayan,34605.15,35336.039385569,-730.8893855689967
2020-09-22,Bagumbayan,36674.8,35995.08171789994,679.7182821000606
2020-09-23,Bagumbayan,36571.65,36671.117146241406,-99.46714624140441
2020-09-24,Bagumbayan,34114.25,33507.66539050687,606.584609493133
2020-09-25,Bagumbayan,35158.03,37877.9931169309,-2719.9631169308996
2020-09-26,Bagumbayan,34503.79,34972.56428339325,-468.7742833932498
2020-09-27,Bagumbayan,32728.39,33120.390520152665,-392.00052015266556
2020-09-28,Bagumbayan,34730.05,36197.12666489135,-1467.0766648913486
2020-09-29,Bagumbayan,35228.47,33318.37390388973,1910.0960961102683
2020-09-30,Bagumbayan,34372.66,32564.76590574408,1807.8940942559238
2020-10-01,Bagumbayan,34368.81,33479.340763395,889.4692366050003
2020-10-02,Bagumbayan,35832.52,36103.359066438774,-270.8390664387771
2020-10-03,Bagumbayan,35047.61,36314.86351116032,-1267.253511160321
2020-10-04,Bagumbayan,33110.55,30624.15835289343,2486.3916471065713
2020-10-05,Bagumbayan,38374.51,38863.73619061844,-489.2261906184358
2020-10-06,Bagumbayan,36442.37,37298.359528726774,-855.9895287267718
2020-10-07,Bagumbayan,34329.57,34432.92749810344,-103.35749810343987
2020-10-08,Bagumbayan,33715.56,34151.598572933304,-436.03857293330657
2020-10-09,Bagumbayan,33926.0,36377.91431271445,-2451.914312714449
2020-10-10,Bagumbayan,32668.25,32077.128159036038,591.1218409639623
2020-10-11,Bagumbayan,32307.3,31582.768987194842,724.5310128051569
2020-10-12,Bagumbayan,34592.04,36638.296991976495,-2046.2569919764937
2020-10-13,Bagumbayan,35597.82,36387.68123817523,-789.8612381752318
2020-10-14,Bagumbayan,35914.44,36844.7162106605,-930.2762106605005
2020-10-15,Bagumbayan,34671.27,34512.946687844495,158.3233121555022
2020-10-16,Bagumbayan,35473.59,36944.67211467908,-1471.082114679084
2020-10-17,Bagumbayan,33957.23,33782.36701806051,174.86298193949187
2020-10-18,Bagumbayan,32603.86,32848.69187776101,-244.83187776101113
2020-10-19,Bagumbayan,36586.11,37866.844964187956,-1280.7349641879555
2020-10-20,Bagumbayan,35954.12,38148.22153444994,-2194.101534449939
2020-10-21,Bagumbayan,35200.17,34863.58955729146,336.5804427085386
2020-10-22,Bagumbayan,35727.62,33709.1237963518,2018.496203648203
2020-10-23,Bagumbayan,35302.82,35488.94752608062,-186.12752608062146
2020-10-24,Bagumbayan,32344.95,29817.46522214995,2527.4847778500516
2020-10-25,Bagumbayan,32688.19,34595.94457541719,-1907.7545754171915
2020-10-26,Bagumbayan,36060.66,37394.3736410102,-1333.7136410101957
2020-10-27,Bagumbayan,34339.13,36087.01313626436,-1747.8831362643614
2020-10-28,Bagumbayan,32683.23,33078.877855355575,-395.6478553555753
2020-10-29,Bagumbayan,34551.35,37539.84427478333,-2988.494274783334
2020-10-30,Bagumbayan,35516.33,37925.32764335636,-2408.997643356357
2020-10-31,Bagumbayan,35505.64,36452.79019893936,-947.1501989393582
