month,model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
12,Previous-Week Baseline,0.9824434743449045,7317.425691269235,3936.3420161290323,5.195939921473018,-517.1041129032259
1,Municipality MLR,0.9943021404991019,4066.136078082267,2139.009411072227,3.455830041370848,1094.6701091344853
2,Municipality MLR,0.9933330107381019,4469.989161554016,2528.38966361146,4.352881536967657,1348.3650810445988
3,Municipality MLR,0.9876858889564347,6592.9879443156215,3181.535850581193,4.463897337331677,1371.5257429357557
4,Municipality MLR,0.9868608644154352,6940.162643708686,3350.0616067802675,4.3411538959705025,1537.3204655876164
5,Municipality MLR,0.9896664867318336,6426.836456485773,3178.2754964340475,4.052563299834974,1293.796103620318
6,Municipality MLR,0.9897438120107921,5851.5074832515365,3001.5929193937322,4.249936545391039,954.781014805168
7,Municipality MLR,0.9921918587966766,5451.849502410476,2835.5524434860326,3.712843172041913,1539.5443774137848
8,Municipality MLR,0.9917600564357173,5508.766012103469,2927.3791477420846,4.116407675810652,1123.9884374729331
9,Municipality MLR,0.9920550920527835,5268.346032010784,2791.4073504140465,3.9976780794566986,867.9902289163388
10,Municipality MLR,0.9922373416676058,5460.816729936062,2855.1073073460934,3.9458434553981707,1229.089957973543
11,Municipality MLR,0.9901219951551729,5828.54875374868,3018.831516596741,4.530032984658115,659.3121206519533
12,Municipality MLR,0.9924901827116644,4785.790888886988,2604.0980638059373,4.358376174417708,1043.4260535086532
1,Municipality SARIMA,0.9951670698475727,3744.823038623304,1906.9624484592782,2.5583047094155194,1086.0989240458186
2,Municipality SARIMA,0.9937629531480364,4323.456517583104,2353.4130897226096,3.101641787848903,765.2086078237465
3,Municipality SARIMA,0.9870745668669512,6754.657014449254,3387.644929410921,4.069543920773366,1355.8749998607268
4,Municipality SARIMA,0.9880857969226142,6608.741280492523,3490.2068768690183,4.19523901867562,1664.933871451504
5,Municipality SARIMA,0.9898447588805109,6371.15788544095,3431.3904595541217,4.142610874394526,1955.9599116245877
6,Municipality SARIMA,0.9910075295289983,5479.163860236719,3033.128656384966,3.914481430870995,599.1165367262023
7,Municipality SARIMA,0.9928837212299625,5204.7096349686635,2982.0222414959785,3.605409854416701,1861.9332186315073
8,Municipality SARIMA,0.9923800847051367,5297.455034819078,2693.9779596433345,3.244291299906315,1086.7262637841263
9,Municipality SARIMA,0.9933508999964193,4819.603264435241,2734.3054286337087,3.491509101823386,610.9535142307111
10,Municipality SARIMA,0.9929555784290595,5202.056141580092,2968.815536110557,3.6257637038673907,1255.1971868868604
11,Municipality SARIMA,0.9907404674791792,5643.1337893015425,2856.2782078817927,3.661065658248515,153.97068027512526
12,Municipality SARIMA,0.9928420361983272,4672.332939591869,2466.724412201868,3.2268616328090354,-175.61156222003115
1,Hybrid MLR-SARIMA,0.9948253682327518,3874.9469916787225,2022.536798879608,3.214983017310568,866.3886108250042
2,Hybrid MLR-SARIMA,0.9938943486349727,4277.673107147151,2276.560830033025,3.7535632684380023,1013.4221987966935
3,Hybrid MLR-SARIMA,0.9888904162788074,6262.23904804548,2938.048363339344,3.9724075365659672,984.5849426903616
4,Hybrid MLR-SARIMA,0.9878868349085932,6663.694361015764,3050.5229278079364,3.8253402809670307,1119.2389111375792
5,Hybrid MLR-SARIMA,0.990534888562927,6150.86384452793,2900.1076725792173,3.512125699421867,913.492042905952
6,Hybrid MLR-SARIMA,0.9895654679563641,5902.163921152706,2916.586822225633,3.8618245088792094,635.6834175296849
7,Hybrid MLR-SARIMA,0.9932807346050505,5057.442186824715,2506.9783183383884,3.1522383977795694,1160.0880165276787
8,Hybrid MLR-SARIMA,0.9922010364577365,5359.331886220196,2700.3644165853284,3.7259384112763474,784.5967622675635
9,Hybrid MLR-SARIMA,0.9925090630892847,5115.615883571866,2521.980424767905,3.4023435540498803,616.3580850106554
10,Hybrid MLR-SARIMA,0.9933828346163177,5041.831883407911,2529.1647160807825,3.278533750408599,851.9418448222044
11,Hybrid MLR-SARIMA,0.9905545943405424,5699.491672542154,2800.045218198575,4.0067280157195215,419.73792491284934
12,Hybrid MLR-SARIMA,0.9927881333632558,4689.892376514404,2440.2429096404635,3.90278074911099,700.6483048463988
