municipality,model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
Kalamansig,Municipality SARIMA,0.2929564929492233,1334.9107009787072,1027.40477034767,2.5570611433332755,77.84083439292962
Lambayong,Municipality SARIMA,0.5089626119314287,3795.4980304758838,2972.553497959116,4.142474853391935,1372.8516226254321
Lebak,Municipality SARIMA,0.4508390921453821,2805.0942919850086,2249.027830550035,2.811561885987948,184.85072337218915
Lutayan,Municipality SARIMA,0.49772420207802914,2310.8863427210053,1776.8240183200055,4.11787326914754,881.9455748495833
Palimbang,Municipality SARIMA,0.44345973379450876,1522.9722480381593,1194.8420191436908,2.4919697369873086,39.755336636720564
President Quirino,Municipality SARIMA,0.5099968096617074,2165.5128568068744,1703.5193035281593,4.368111631528255,689.322346990612
Senator Ninoy Aquino,Municipality SARIMA,0.45734462304582324,640.2693748084315,498.50740587700074,2.023944978695951,15.267234101317621
Tacurong City,Municipality SARIMA,0.47365502617379895,9937.710221611595,7710.412989477133,5.194700625857554,2762.411562860054
Bagumbayan,Hybrid MLR-SARIMA,0.7859568552175802,1366.7486312003896,1094.5353921426884,2.5303980357124956,93.29508820710929
Columbio,Hybrid MLR-SARIMA,-0.9172278054400997,1411.967628820669,1103.1595251759136,6.804216998781,-80.3548180064412
Esperanza,Hybrid MLR-SARIMA,0.8207255816668017,1863.1286059339945,1479.9722822072713,2.5954495789282532,109.03769527647833
Isulan,Hybrid MLR-SARIMA,0.5659113458674987,8122.8380462617015,6237.307741611708,4.174073446781124,3304.3189817983184
Kalamansig,Hybrid MLR-SARIMA,0.383555890468933,1246.4532628626441,957.9632133384696,2.4185598835982507,-26.005905341328265
Lambayong,Hybrid MLR-SARIMA,0.7594187108932119,2656.6993758361277,2021.3615253274481,2.812639542427854,931.6340857109324
Lebak,Hybrid MLR-SARIMA,0.7240869263106878,1988.308627380234,1596.962838521831,2.0053061720790533,58.98549261867131
Lutayan,Hybrid MLR-SARIMA,0.8208515425915258,1380.1109329010926,1082.2221186727852,2.5524381094961948,238.6312560492618
Palimbang,Hybrid MLR-SARIMA,0.5553478765127953,1361.3001087815126,1058.1797022090195,2.233285971915387,47.25702240351957
President Quirino,Hybrid MLR-SARIMA,0.8395640715940917,1239.1164672355399,968.4123963387513,2.5433559618092527,92.5968174299526
Senator Ninoy Aquino,Hybrid MLR-SARIMA,-2.178166378229368,1549.4907516306494,1264.8235177319727,5.156851140043706,-338.6632005960174
Tacurong City,Hybrid MLR-SARIMA,0.5956396753401597,8710.345001997437,6654.452989426683,4.459858190026029,3082.3471002593546
